iter	F1	Logloss
0	0.6596760475	0.6844174577
1	0.7047601867	0.6775299288
2	0.7628239463	0.6659277999
3	0.7668163392	0.6618673314
4	0.7683715946	0.6582745442
5	0.784490216	0.6515600728
6	0.7781534421	0.6498578717
7	0.7822049228	0.6416089259
8	0.7948088354	0.6359597312
9	0.791883543	0.6303588877
10	0.7819813442	0.6246128551
11	0.7930702562	0.6208872566
12	0.8093194325	0.6159088645
13	0.8200940769	0.6067633763
14	0.8333333303	0.601540078
15	0.8392794036	0.5998413283
16	0.83660595	0.5952509228
17	0.8232766309	0.592053597
18	0.8232766309	0.5920535766
19	0.8347517701	0.5875773905
20	0.84060395	0.583496051
21	0.8375361323	0.5819279786
22	0.8439373057	0.5769330305
23	0.8392794036	0.5715409552
24	0.8424581962	0.5681937866
25	0.8424581962	0.5653491787
26	0.8493757167	0.563384908
27	0.8456316642	0.5599661275
28	0.8493757167	0.555358483
29	0.8636646213	0.5496493703
30	0.8627068244	0.5477683262
31	0.8636646213	0.5456752823
32	0.8547130939	0.5416358981
33	0.8627068244	0.5394074835
34	0.8633606825	0.5353541695
35	0.8719452566	0.5317783097
36	0.8729149035	0.5310356515
37	0.867228093	0.5281975484
38	0.8691748204	0.5258526709
39	0.8746026749	0.5217006423
40	0.8736248971	0.518927911
41	0.8768151534	0.5175522083
42	0.880750413	0.5146761098
43	0.8797632902	0.5102219518
44	0.8768151534	0.507885087
45	0.8799999978	0.506415459
46	0.880750413	0.5020552267
47	0.8859325822	0.4980889381
48	0.8909378512	0.493595927
49	0.8855044854	0.4918854968
50	0.8891283827	0.4882941513
51	0.8933207545	0.4835283247
52	0.8975153865	0.4795928391
53	0.8963403623	0.4781061225
54	0.8963403623	0.4761448745
55	0.8907448577	0.473197408
56	0.8897352176	0.4717350328
57	0.892133007	0.4671932919
58	0.8953315607	0.462596708
59	0.8907448577	0.4574638389
60	0.894147397	0.4536478184
61	0.8931390662	0.452724253
62	0.9005499937	0.4500495595
63	0.9005499937	0.4500326388
64	0.9003984047	0.447454731
65	0.8993804532	0.4444900032
66	0.8993804532	0.4444896102
67	0.9015660948	0.4426962393
68	0.8983648008	0.4410127085
69	0.8983648008	0.4395284006
70	0.9036051913	0.4373627681
71	0.9087435159	0.4343464252
72	0.9087435159	0.4343456252
73	0.9120615509	0.4298306734
74	0.9120615509	0.4296870847
75	0.913192563	0.426616728
76	0.9121636831	0.4251368967
77	0.9143165549	0.4227700819
78	0.9153458198	0.4199004737
79	0.9143165549	0.4175368741
80	0.9163774046	0.4139790901
81	0.9164609222	0.4111927022
82	0.9174905611	0.4111364575
83	0.9195567952	0.4079946679
84	0.9174113172	0.4064488191
85	0.9174113172	0.4054162072
86	0.9183719756	0.4021091621
87	0.9183719756	0.4002055258
88	0.9258992792	0.3983255654
89	0.9290922904	0.3954223737
90	0.9290922904	0.3944755155
91	0.9258992792	0.3924321589
92	0.9290624003	0.3911723063
93	0.9311751768	0.389363224
94	0.9311751768	0.3879928673
95	0.9343170763	0.3848888804
96	0.9311751768	0.3815122481
97	0.9332796335	0.3801593372
98	0.9385194467	0.3776678217
99	0.9374692257	0.3755532218
100	0.9353724703	0.3740212057
101	0.9353758193	0.3726475702
102	0.9364213525	0.3712044935
103	0.9406082277	0.3693732573
104	0.9385194467	0.3669560401
