iter	Passed	Remaining
0	56	28374
1	106	26403
2	155	25828
3	204	25362
4	261	25893
5	310	25537
6	367	25881
7	418	25723
8	471	25724
9	522	25616
10	574	25553
11	620	25216
12	683	25604
13	731	25405
14	784	25360
15	835	25271
16	890	25310
17	940	25174
18	1001	25366
19	1053	25283
20	1112	25382
21	1165	25325
22	1223	25379
23	1271	25214
24	1324	25167
25	1369	24966
26	1428	25033
27	1473	24831
28	1523	24748
29	1564	24505
30	1611	24376
31	1658	24250
32	1722	24381
33	1770	24261
34	1818	24158
35	1863	24019
36	1915	23966
37	1959	23829
38	2020	23884
39	2073	23849
40	2138	23943
41	2193	23915
42	2258	24002
43	2314	23986
44	2375	24023
45	2433	24021
46	2498	24085
47	2555	24064
48	2617	24093
49	2661	23957
50	2738	24107
51	2787	24013
52	2836	23920
53	2881	23801
54	2931	23721
55	2977	23605
56	3032	23569
57	3079	23467
58	3140	23474
59	3192	23414
60	3257	23443
61	3312	23403
62	3369	23371
63	3418	23290
64	3479	23287
65	3533	23236
66	3597	23249
67	3645	23161
68	3702	23130
69	3749	23032
70	3801	22969
71	3844	22855
72	3898	22801
73	3943	22701
74	3996	22647
75	4039	22538
76	4128	22681
77	4184	22637
78	4252	22662
79	4313	22646
80	4369	22601
81	4416	22513
82	4472	22471
83	4521	22390
84	4572	22324
85	4621	22247
86	4689	22261
87	4735	22171
88	4785	22098
89	4833	22020
90	4890	21980
91	4943	21922
92	4994	21857
93	5043	21782
94	5102	21750
95	5155	21694
96	5220	21689
97	5267	21607
98	5319	21546
99	5368	21473
100	5422	21421
101	5471	21348
102	5529	21310
103	5576	21232
104	5628	21173
105	5679	21109
106	5738	21075
107	5790	21018
108	5845	20969
109	5895	20902
110	5953	20862
111	6007	20811
112	6056	20742
113	6101	20659
114	6164	20637
115	6221	20593
116	6274	20538
117	6326	20479
118	6384	20442
119	6429	20358
120	6487	20319
121	6542	20270
122	6602	20236
123	6651	20168
124	6707	20121
125	6753	20046
126	6806	19991
127	6852	19915
128	6903	19854
129	6954	19792
130	7008	19741
131	7058	19679
132	7112	19626
133	7163	19566
134	7219	19520
135	7272	19465
136	7335	19436
137	7387	19379
138	7452	19354
139	7498	19281
140	7555	19236
141	7605	19173
142	7666	19140
143	7724	19097
144	7788	19068
145	7838	19004
146	7899	18969
147	7948	18905
148	8001	18848
149	8048	18779
150	8105	18734
151	8158	18678
152	8214	18629
153	8258	18555
154	8317	18513
155	8361	18437
156	8422	18401
157	8472	18339
158	8526	18286
159	8570	18212
160	8623	18157
161	8667	18084
162	8718	18025
163	8766	17961
164	8816	17900
165	8861	17830
166	8912	17771
167	8960	17708
168	9013	17654
169	9068	17604
170	9126	17559
171	9179	17505
172	9242	17469
173	9304	17431
174	9365	17393
175	9414	17330
176	9472	17285
177	9532	17244
178	9593	17204
179	9654	17163
180	9714	17121
181	9765	17063
182	9818	17008
183	9868	16947
184	9930	16908
185	9984	16856
186	10043	16809
187	10093	16750
188	10152	16706
189	10192	16629
190	10243	16571
191	10293	16513
192	10345	16456
193	10392	16392
194	10446	16338
195	10492	16273
196	10543	16216
197	10590	16153
198	10641	16095
199	10687	16031
200	10747	15987
201	10803	15938
202	10861	15891
203	10914	15837
204	10972	15789
205	11017	15724
206	11065	15663
207	11108	15594
208	11161	15541
209	11205	15474
210	11268	15434
211	11325	15385
212	11392	15350
213	11448	15300
214	11511	15259
215	11565	15207
216	11630	15167
217	11681	15110
218	11755	15083
219	11811	15033
220	11876	14992
221	11921	14929
222	11976	14876
223	12022	14813
224	12082	14767
225	12131	14707
226	12180	14648
227	12226	14586
228	12282	14535
229	12328	14472
230	12381	14418
231	12431	14359
232	12486	14308
233	12538	14252
234	12593	14201
235	12641	14141
236	12706	14100
237	12762	14048
238	12824	14005
239	12873	13946
240	12924	13889
241	12969	13826
242	13019	13770
243	13063	13706
244	13115	13651
245	13162	13590
246	13212	13532
247	13256	13470
248	13317	13424
249	13362	13362
250	13412	13305
251	13457	13243
252	13506	13186
253	13550	13124
254	13601	13068
255	13648	13008
256	13701	12955
257	13752	12899
258	13807	12847
259	13865	12798
260	13926	12752
261	13971	12691
262	14026	12639
263	14074	12582
264	14137	12537
265	14185	12478
266	14251	12436
267	14302	12381
268	14361	12332
269	14408	12274
270	14467	12225
271	14518	12170
272	14577	12120
273	14623	12061
274	14674	12006
275	14722	11949
276	14769	11890
277	14817	11832
278	14875	11783
279	14917	11720
280	14964	11663
281	15008	11602
282	15068	11554
283	15126	11504
284	15188	11457
285	15235	11399
286	15286	11345
287	15331	11285
288	15393	11239
289	15446	11185
290	15504	11135
291	15556	11081
292	15616	11032
293	15670	10979
294	15729	10930
295	15780	10875
296	15844	10829
297	15891	10772
298	15940	10716
299	15985	10657
300	16048	10610
301	16101	10556
302	16164	10509
303	16219	10457
304	16280	10408
305	16335	10356
306	16390	10303
307	16437	10246
308	16488	10191
309	16537	10135
310	16590	10082
311	16631	10021
312	16691	9972
313	16744	9918
314	16805	9869
315	16852	9813
316	16902	9757
317	16951	9701
318	17006	9649
319	17059	9595
320	17113	9542
321	17161	9486
322	17223	9437
323	17278	9385
324	17336	9335
325	17389	9281
326	17448	9231
327	17498	9176
328	17555	9124
329	17602	9067
330	17653	9013
331	17706	8959
332	17760	8906
333	17808	8851
334	17866	8799
335	17915	8744
336	17971	8692
337	18018	8636
338	18069	8581
339	18122	8528
340	18180	8477
341	18227	8421
342	18278	8366
343	18326	8310
344	18386	8260
345	18439	8207
346	18500	8157
347	18556	8105
348	18615	8054
349	18670	8001
350	18728	7950
351	18781	7896
352	18838	7844
353	18883	7788
354	18934	7733
355	18979	7677
356	19028	7622
357	19074	7565
358	19125	7511
359	19172	7455
360	19224	7402
361	19271	7346
362	19325	7293
363	19372	7238
364	19424	7184
365	19472	7129
366	19523	7075
367	19571	7020
368	19621	6966
369	19666	6910
370	19723	6857
371	19771	6803
372	19822	6749
373	19871	6694
374	19929	6643
375	19975	6587
376	20027	6534
377	20082	6481
378	20143	6431
379	20196	6377
380	20256	6326
381	20309	6273
382	20378	6225
383	20434	6172
384	20495	6121
385	20545	6067
386	20597	6014
387	20644	5959
388	20698	5906
389	20753	5853
390	20814	5802
391	20870	5750
392	20929	5698
393	20980	5644
394	21030	5590
395	21074	5534
396	21123	5480
397	21166	5424
398	21217	5370
399	21263	5315
400	21315	5262
401	21367	5208
402	21428	5157
403	21478	5103
404	21527	5049
405	21568	4993
406	21616	4939
407	21663	4884
408	21714	4831
409	21772	4779
410	21842	4729
411	21891	4675
412	21958	4625
413	22006	4571
414	22063	4519
415	22118	4466
416	22175	4413
417	22227	4360
418	22293	4309
419	22337	4254
420	22389	4201
421	22439	4147
422	22498	4095
423	22544	4040
424	22601	3988
425	22645	3933
426	22696	3880
427	22746	3826
428	22797	3773
429	22848	3719
430	22898	3665
431	22943	3611
432	22997	3558
433	23043	3504
434	23100	3451
435	23153	3398
436	23219	3347
437	23275	3294
438	23333	3242
439	23389	3189
440	23451	3137
441	23513	3085
442	23569	3032
443	23622	2979
444	23675	2926
445	23728	2873
446	23785	2820
447	23834	2766
448	23891	2713
449	23942	2660
450	24002	2607
451	24054	2554
452	24110	2501
453	24159	2447
454	24212	2394
455	24262	2341
456	24324	2288
457	24382	2235
458	24436	2182
459	24487	2129
460	24550	2076
461	24602	2023
462	24663	1970
463	24718	1917
464	24782	1865
465	24836	1812
466	24901	1759
467	24965	1707
468	25028	1654
469	25083	1601
470	25149	1548
471	25202	1495
472	25262	1442
473	25308	1388
474	25372	1335
475	25419	1281
476	25481	1228
477	25533	1175
478	25596	1122
479	25667	1069
480	25730	1016
481	25784	962
482	25842	909
483	25896	856
484	25962	802
485	26011	749
486	26069	695
487	26121	642
488	26183	588
489	26231	535
490	26291	481
491	26341	428
492	26394	374
493	26448	321
494	26507	267
495	26560	214
496	26611	160
497	26653	107
498	26709	53
499	26760	0
