symbol,reason
NEWTUSDT,low volume: 164337
XTERUSDT,low volume: 56198
BBUSDT,low volume: 5168
VICUSDT,low volume: 479
PAALUSDT,low volume: 11112
EGLDUSDT,low volume: 59
DIAMUSDT,low volume: 34682
DEEPUSDT,low volume: 126514
PSTAKEUSDT,low volume: 46795
ALTUSDT,low volume: 135518
LMWRUSDT,low volume: 7344
INSPUSDT,low volume: 61408
CBKUSDT,low volume: 1436
ICPUSDT,low volume: 3279
WIFUSDT,low volume: 93465
ZORAUSDT,low volume: 440781
NRNUSDT,low volume: 8310
FLRUSDT,low volume: 277551
INJUSDT,low volume: 1401
VANRYUSDT,low volume: 7042
ETHFIUSDT,low volume: 11070
IPUSDT,low volume: 2046
SCRUSDT,low volume: 1191
APTUSDT,low volume: 19301
KAVAUSDT,low volume: 2460
XZKUSDT,low volume: 103555
ETCUSDT,low volume: 153
EGP1USDT,low volume: 145
BTC3LUSDT,low volume: 0
MVLUSDT,low volume: 37809
MERLUSDT,low volume: 8197
MPLXUSDT,low volume: 7466
VRAUSDT,low volume: 422949
SISUSDT,low volume: 795
STGUSDT,low volume: 2224
ALGOUSDT,low volume: 47157
SOLVUSDT,low volume: 197620
CTCUSDT,low volume: 2015
ODOSUSDT,low volume: 361595
BCUTUSDT,low volume: 35953
ACHUSDT,low volume: 35754
USDYUSDT,low volume: 10
TAPUSDT,low volume: 191089
GMTUSDT,low volume: 49998
VVVUSDT,low volume: 878
JSTUSDT,low volume: 26351
ENSUSDT,low volume: 132
MOCAUSDT,low volume: 75989
ZKLUSDT,low volume: 427603
METHUSDT,low volume: 0
AKIUSDT,low volume: 374895
ZTXUSDT,low volume: 5080
OPUSDT,low volume: 60317
FXSUSDT,low volume: 267
SOLUSDT,low volume: 7263
GTAIUSDT,low volume: 1805
EIGENUSDT,low volume: 10509
APRSUSDT,low volume: 13234
AI16ZUSDT,low volume: 212766
XRPUSDT,low volume: 344552
AARKUSDT,low volume: 306556
YFIUSDT,low volume: 0
MEMEFIUSDT,low volume: 112497
LDOUSDT,low volume: 37813
C98USDT,low volume: 47131
BABY1USDT,low volume: 44070
CGPTUSDT,low volume: 7252
SIGNUSDT,low volume: 57108
CYBERUSDT,low volume: 439
ANKRUSDT,low volume: 19736
SWELLUSDT,low volume: 208946
RESOLVUSDT,low volume: 87829
ALCHUSDT,low volume: 14620
VELARUSDT,low volume: 73778
FORTUSDT,low volume: 4769
PIRATEUSDT,low volume: 19551
SERAPHUSDT,low volume: 51942
USDRUSDT,low volume: 284
USDTTRY,low volume: 157
USDTBUSDT,low volume: 702
MAKUSDT,low volume: 281306
ZKUSDT,low volume: 288619
CHRPUSDT,low volume: 166140
AFCUSDT,low volume: 354
USTCUSDT,low volume: 93393
IDUSDT,low volume: 2597
TELUSDT,low volume: 112413
BRUSDT,low volume: 12144
SUNUSDT,low volume: 47651
TRCUSDT,low volume: 118390
LRCUSDT,low volume: 2173
AEVOUSDT,low volume: 19986
ZIGUSDT,low volume: 22795
ARKMUSDT,low volume: 9675
USDTBRZ,low volume: 18
BTC3SUSDT,low volume: 0
HFTUSDT,low volume: 85344
GRASSUSDT,low volume: 22357
AEROUSDT,low volume: 10628
WBTCUSDT,low volume: 0
PERPUSDT,low volume: 670
VETUSDT,low volume: 36545
UNIUSDT,low volume: 3548
SUIUSDT,low volume: 48360
LUNAUSDT,low volume: 2654
AXLUSDT,low volume: 6699
AIXBTUSDT,low volume: 38941
SVLUSDT,low volume: 113336
AVAXUSDT,low volume: 2806
FLIPUSDT,low volume: 2702
CUDISUSDT,low volume: 169545
NLKUSDT,low volume: 18539
LFTUSDT,low volume: 31635
BNBUSDT,low volume: 33
BLURUSDT,low volume: 30686
TSTUSDT,low volume: 74716
VENOMUSDT,low volume: 3523
OBOLUSDT,low volume: 110191
CORNUSDT,low volume: 5646
TUSDUSDT,low volume: 325
FUELUSDT,low volume: 115582
KCALUSDT,low volume: 33289
PARTIUSDT,low volume: 16824
GPSUSDT,low volume: 300954
BBSOLUSDT,low volume: 15
XAUTUSDT,low volume: 1
WALUSDT,low volume: 399434
PEOPLEUSDT,low volume: 66954
AVAILUSDT,low volume: 10337
SAFEUSDT,low volume: 4286
PIPUSDT,low volume: 16587
FITFIUSDT,low volume: 250005
ROOTUSDT,low volume: 153531
SNXUSDT,low volume: 961
AGLAUSDT,low volume: 213528
ICXUSDT,low volume: 9400
TRVLUSDT,low volume: 64863
MDAOUSDT,low volume: 12024
XDCUSDT,low volume: 39668
XIONUSDT,low volume: 692
ATOMUSDT,low volume: 1607
DMAILUSDT,low volume: 64314
HUMAUSDT,low volume: 298170
SQDUSDT,low volume: 31556
HPOS10IUSDT,low volume: 20410
REDUSDT,low volume: 4789
ENAUSDT,low volume: 128499
OMGUSDT,low volume: 1035
VANAUSDT,low volume: 228
CHILLGUYUSDT,low volume: 265968
POLUSDT,low volume: 25685
MODEUSDT,low volume: 441609
HOOKUSDT,low volume: 1880
G3USDT,low volume: 47658
ZENUSDT,low volume: 267
AXSUSDT,low volume: 1091
KASUSDT,low volume: 214379
ADAUSDT,low volume: 144161
TAIUSDT,low volume: 60715
SANDUSDT,low volume: 28380
MEEUSDT,low volume: 206896
PFVSUSDT,low volume: 210135
DOLOUSDT,low volume: 129676
A8USDT,low volume: 3771
SOLOUSDT,low volume: 1963
SAROSUSDT,low volume: 14003
AOUSDT,low volume: 36
KMNOUSDT,low volume: 93626
VRTXUSDT,low volume: 178184
WEMIXUSDT,low volume: 1997
PUMPBTCUSDT,low volume: 76973
COMPUSDT,low volume: 36
SUSHIUSDT,low volume: 1950
SUPRAUSDT,low volume: 246013
THETAUSDT,low volume: 1560
PENDLEUSDT,low volume: 1508
BCHUSDT,low volume: 57
APPUSDT,low volume: 30225
SCRTUSDT,low volume: 1775
SKATEUSDT,low volume: 114293
ORDIUSDT,low volume: 372
LAVAUSDT,low volume: 109865
MORPHOUSDT,low volume: 6009
STREAMUSDT,low volume: 2756
UXLINKUSDT,low volume: 8875
QORPOUSDT,low volume: 84957
ATHUSDT,low volume: 266000
NEIROUSDT,low volume: 77768
AGLDUSDT,low volume: 940
STETHUSDT,low volume: 5
MVUSDT,low volume: 81217
CMETHUSDT,low volume: 1
KAIAUSDT,low volume: 59631
ONEUSDT,low volume: 27747
AAVEUSDT,low volume: 192
BRETTUSDT,low volume: 179291
CTAUSDT,low volume: 280626
FMBUSDT,low volume: 100112
INITUSDT,low volume: 5637
ARBUSDT,low volume: 116444
FETUSDT,low volume: 38729
MNRYUSDT,low volume: 229297
MAJORUSDT,low volume: 7176
GRTUSDT,low volume: 27009
WCTUSDT,low volume: 30030
NUTSUSDT,low volume: 268780
FLOCKUSDT,low volume: 68882
ELIXUSDT,low volume: 220678
DYMUSDT,low volume: 2172
EGOUSDT,low volume: 79929
GLMRUSDT,low volume: 18427
SQRUSDT,low volume: 23358
TGTUSDT,low volume: 87185
ROAMUSDT,low volume: 69111
HBARUSDT,low volume: 298586
MXUSDT,low volume: 73
MOJOUSDT,low volume: 320899
KSMUSDT,low volume: 24
MASAUSDT,low volume: 29976
